,train,val,test
0029553565,True,False,False
0030657581,True,False,False
0035146620,True,False,False
0051341579,True,False,False
0055483886,True,False,False
30,True,False,False
DigitalSlide_B1M_3S_1,True,False,False
DigitalSlide_B1M_5S_1,True,False,False
DigitalSlide_C10M_14S_1,True,False,False
DigitalSlide_C10M_1S_1,True,False,False
DigitalSlide_C10M_2S_1,True,False,False
DigitalSlide_C10M_3S_1,True,False,False
DigitalSlide_C10M_9S_1,True,False,False
DigitalSlide_E10M_7S_1_20210914145322714,True,False,False
0063366529,True,False,False
DigitalSlide_B1M_1S_1,True,False,False
DigitalSlide_B1M_3S_1_12-1-2022_17-40-14,True,False,False
DigitalSlide_B2M_11S_1_20210826183548302,True,False,False
DigitalSlide_B2M_12S_1_20210826183648767,True,False,False
DigitalSlide_B2M_4S_1_20210826184014839,True,False,False
DigitalSlide_B2M_6S_1_20210826184158873,True,False,False
DigitalSlide_B2M_7S_1_20210826184304020,True,False,False
DigitalSlide_B2M_8S_1_20210826184401956,True,False,False
DigitalSlide_D4M_2S_1_20210922131740429,True,False,False
DigitalSlide_E6M_15S_1,True,False,False
0029468706,True,False,False
0048086809,True,False,False
0049547258,True,False,False
0049556653,True,False,False
0050394746,True,False,False
B-160004549-01-B-001,True,False,False
DigitalSlide_B1M_19S_1,True,False,False
DigitalSlide_B9M_6S_1,True,False,False
DigitalSlide_B9M_7S_1,True,False,False
DigitalSlide_B9M_8S_1,True,False,False
DigitalSlide_C10M_19S_1,True,False,False
0042034876,True,False,False
0042951302,True,False,False
0046877280,True,False,False
0054130784,True,False,False
0054815807,True,False,False
0059072087,True,False,False
0063610642,True,False,False
DigitalSlide_B1M_14S_1,True,False,False
DigitalSlide_B1M_15S_1,True,False,False
DigitalSlide_B9M_11S_1,True,False,False
DigitalSlide_B9M_16S_1,True,False,False
DigitalSlide_C10M_12S_1,False,True,False
0043824438,False,True,False
DigitalSlide_B1M_2S_1_12-1-2022_17-38-55,False,True,False
DigitalSlide_B2M_3S_1_20210826183921228,False,True,False
DigitalSlide_B2M_1S_1_20210826183728179,False,True,False
DigitalSlide_B2M_5S_1_20210826184054251,False,True,False
0044135054,False,True,False
0046723899,False,True,False
0042711961,False,True,False
DigitalSlide_B1M_16S_1,False,True,False
0047176089,False,True,False
DigitalSlide_B1M_2S_1,False,False,True
DigitalSlide_E6M_17S_1,False,False,True
DigitalSlide_B1M_1S_1_12-1-2022_17-37-26,False,False,True
DigitalSlide_B1M_18S_1,False,False,True
DigitalSlide_D4M_1S_1_20210922131645990,False,False,True
DigitalSlide_B2M_9S_1_20210826184515465,False,False,True
0057134497,False,False,True
BB150007349-A-01-001,False,False,True
0047953852,False,False,True
DigitalSlide_B9M_14S_1,False,False,True
0058263272,False,False,True
